mode,area,policy,repeat_count,ci95_method,finished_n,finished_mean,finished_std,finished_ci95_margin,finished_ci95_low,finished_ci95_high,flight_energy_per_req_n,flight_energy_per_req_mean,flight_energy_per_req_std,flight_energy_per_req_ci95_margin,flight_energy_per_req_ci95_low,flight_energy_per_req_ci95_high,nonflight_energy_per_req_n,nonflight_energy_per_req_mean,nonflight_energy_per_req_std,nonflight_energy_per_req_ci95_margin,nonflight_energy_per_req_ci95_low,nonflight_energy_per_req_ci95_high,avg_time_n,avg_time_mean,avg_time_std,avg_time_ci95_margin,avg_time_ci95_low,avg_time_ci95_high,avg_travel_n,avg_travel_mean,avg_travel_std,avg_travel_ci95_margin,avg_travel_ci95_low,avg_travel_ci95_high,encodes_n,encodes_mean,encodes_std,encodes_ci95_margin,encodes_ci95_low,encodes_ci95_high,decodes_n,decodes_mean,decodes_std,decodes_ci95_margin,decodes_ci95_low,decodes_ci95_high,semantic_quality_n,semantic_quality_mean,semantic_quality_std,semantic_quality_ci95_margin,semantic_quality_ci95_low,semantic_quality_ci95_high,semantic_payload_ratio_n,semantic_payload_ratio_mean,semantic_payload_ratio_std,semantic_payload_ratio_ci95_margin,semantic_payload_ratio_ci95_low,semantic_payload_ratio_ci95_high,sinr_median_db_n,sinr_median_db_mean,sinr_median_db_std,sinr_median_db_ci95_margin,sinr_median_db_ci95_low,sinr_median_db_ci95_high,mode_fixed_count_n,mode_fixed_count_mean,mode_fixed_count_std,mode_fixed_count_ci95_margin,mode_fixed_count_ci95_low,mode_fixed_count_ci95_high,mode_fixed_neural_encoder_decoder_count_n,mode_fixed_neural_encoder_decoder_count_mean,mode_fixed_neural_encoder_decoder_count_std,mode_fixed_neural_encoder_decoder_count_ci95_margin,mode_fixed_neural_encoder_decoder_count_ci95_low,mode_fixed_neural_encoder_decoder_count_ci95_high,mode_neural_encoder_decoder_count_n,mode_neural_encoder_decoder_count_mean,mode_neural_encoder_decoder_count_std,mode_neural_encoder_decoder_count_ci95_margin,mode_neural_encoder_decoder_count_ci95_low,mode_neural_encoder_decoder_count_ci95_high,mode_raw_count_n,mode_raw_count_mean,mode_raw_count_std,mode_raw_count_ci95_margin,mode_raw_count_ci95_low,mode_raw_count_ci95_high
nonsemantic,300,Greedy,10,two-sided Student t; n=1 uses zero-width descriptive interval,10,75.9,19.404753140518032,13.880359766230844,62.01964023376916,89.78035976623084,10,15033.234058723916,5452.015905952332,3899.866268734769,11133.367789989146,18933.100327458684,10,11.842548938727756,4.668352555948733,3.339306226826952,8.503242711900803,15.181855165554708,10,66.19405726887018,23.682005865518445,16.939909465429544,49.25414780344064,83.13396673429972,10,56.06432254150727,10.15473828183024,7.263757475451075,48.8005650660562,63.328080016958346,10,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,1.0,10,1.0,0.0,0.0,1.0,1.0,10,-12.8962160988854,2.400574414588076,1.7171481790467114,-14.613364277932112,-11.179067919838689,10,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,10,75.9,19.404753140518032,13.880359766230844,62.01964023376916,89.78035976623084
nonsemantic,300,LinUCB,10,two-sided Student t; n=1 uses zero-width descriptive interval,10,66.5,10.977249200050075,7.852105462867905,58.647894537132096,74.35210546286791,10,18569.15233074821,2795.847903471537,1999.890154274396,16569.262176473814,20569.042485022605,10,14.008050329159522,2.425023837980184,1.7346370277994811,12.27341330136004,15.742687356959003,10,81.98233857194494,12.28337353619969,8.786385613401276,73.19595295854366,90.76872418534622,10,152.2099800934907,18.101224343908626,12.947936223835937,139.26204386965478,165.15791631732665,10,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,1.0,10,1.0,0.0,0.0,1.0,1.0,10,-14.041751948493305,1.2729253186054108,0.9105326540276429,-14.952284602520947,-13.131219294465662,10,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,10,66.5,10.977249200050075,7.852105462867905,58.647894537132096,74.35210546286791
nonsemantic,300,MCTS,10,two-sided Student t; n=1 uses zero-width descriptive interval,10,77.0,11.832159566199232,8.463629008882656,68.53637099111734,85.46362900888266,10,14465.283680201177,3254.5184091794663,2327.9804725218114,12137.303207679366,16793.26415272299,10,11.275271205935416,2.8613807156457973,2.0467662470999337,9.228504958835483,13.32203745303535,10,63.760924661773444,14.033971540625043,10.03860098205404,53.7223236797194,73.79952564382748,10,59.61556587874774,4.369472404870465,3.1255151008120903,56.49005077793565,62.741080979559825,10,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,1.0,10,1.0,0.0,0.0,1.0,1.0,10,-13.507133973251527,1.496501044318658,1.070457981880238,-14.577591955131766,-12.436675991371288,10,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,10,77.0,11.832159566199232,8.463629008882656,68.53637099111734,85.46362900888266
nonsemantic,300,SA,10,two-sided Student t; n=1 uses zero-width descriptive interval,10,68.3,11.499275339486978,8.225514522508607,60.07448547749139,76.5255145225086,10,17400.78026104427,2339.2692657242337,1673.296164254744,15727.484096789527,19074.076425299016,10,12.301538241273267,2.0682410592084435,1.479427734906869,10.822110506366398,13.780965976180136,10,76.56972866709069,10.141288070418433,7.254136442296168,69.31559222479451,83.82386510938686,10,219.64531411057865,11.008839325931742,7.874702107572572,211.77061200300608,227.52001621815123,10,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,1.0,10,1.0,0.0,0.0,1.0,1.0,10,-14.300514911177894,0.9180126264444798,0.6566610475649519,-14.957175958742846,-13.643853863612941,10,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,10,68.3,11.499275339486978,8.225514522508607,60.07448547749139,76.5255145225086
semantic,100,Greedy,10,two-sided Student t; n=1 uses zero-width descriptive interval,10,122.4,19.867337796270316,14.21124990421321,108.1887500957868,136.61124990421322,10,7839.957679026377,2167.6886673361787,1550.5633256927074,6289.39435333367,9390.521004719085,10,6.041958150803901,1.8384375378269808,1.3150476199307568,4.726910530873145,7.3570057707346574,10,34.35106704779804,9.431417858517358,6.746361163880313,27.604705883917728,41.097428211678356,10,24.86948824749964,3.987449990305246,2.85225171454116,22.017236532958478,27.7217399620408,10,121.7,18.915308321274832,13.530256359729478,108.16974364027053,135.23025635972948,10,0.0,0.0,0.0,0.0,0.0,10,0.3087785184430315,0.004784388922898562,0.0034223078763489416,0.30535621056668255,0.31220082631938045,10,0.10850403150836636,0.0061706175954663375,0.004413887236012554,0.10409014427235382,0.11291791874437891,10,-18.746813839811928,1.9303159919709867,1.3807689403231842,-20.12758278013511,-17.366044899488745,10,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,10,121.7,18.915308321274832,13.530256359729478,108.16974364027053,135.23025635972948,10,0.7,1.0593499054713802,0.757760621832515,-0.05776062183251507,1.457760621832515
semantic,100,LinUCB,10,two-sided Student t; n=1 uses zero-width descriptive interval,10,65.3,13.840761058072879,9.900396131468678,55.399603868531315,75.20039613146868,10,10655.323268944103,2139.727753934442,1530.5626828296893,9124.760586114413,12185.885951773793,10,7.903940290261974,1.9063304542448858,1.3636119123304078,6.540328377931566,9.267552202592382,10,46.879953359211854,9.287039321790509,6.643086156062454,40.2368672031494,53.523039515274306,10,70.77737393901677,7.960711520292013,5.694354321164107,65.08301961785266,76.47172826018088,10,56.7,12.534840334931364,8.966261626787386,47.73373837321262,65.66626162678739,10,21.6,5.501514942874069,3.9352732865710864,17.664726713428916,25.535273286571087,10,0.3978022678457741,0.021684827386097304,0.015511313305973363,0.3822909545398007,0.4133135811517475,10,0.22332151882630616,0.027967788484521344,0.020005560659280868,0.2033159581670253,0.24332707948558702,10,-20.570227685779745,1.4767478956664144,1.0563284122936774,-21.626556098073422,-19.513899273486068,10,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,10,56.7,12.534840334931364,8.966261626787386,47.73373837321262,65.66626162678739,10,8.6,2.503331114069145,1.7906507867253176,6.8093492132746825,10.390650786725317
semantic,100,MCTS,10,two-sided Student t; n=1 uses zero-width descriptive interval,10,123.9,10.660935960578488,7.62584432308974,116.27415567691027,131.52584432308976,10,7255.81752077208,1009.469651640945,722.0809167940787,6533.736603978001,7977.8984375661585,10,5.31619895755721,0.8604457465547571,0.615483043510868,4.700715914046342,5.931682001068078,10,31.929503872031727,4.39988351439255,3.147268386617895,28.782235485413832,35.07677225864962,10,42.65676941729309,2.5735094189642824,1.840849833972911,40.81591958332018,44.497619251266,10,118.0,9.153020145163987,6.547221273181471,111.45277872681854,124.54722127318146,10,41.1,8.385834616913346,5.998447935924758,35.10155206407524,47.09844793592476,10,0.3378133970794659,0.020179924936103908,0.014434845738067323,0.3233785513413986,0.3522482428175332,10,0.14595147482526144,0.026026855653382412,0.018617197417388157,0.1273342774078733,0.1645686722426496,10,-18.468191859596292,1.5781378982681014,1.1288534118450464,-19.59704527144134,-17.339338447751246,10,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,10,118.0,9.153020145163987,6.547221273181471,111.45277872681854,124.54722127318146,10,5.9,4.067486256208427,2.90950223234147,2.9904977676585305,8.80950223234147
semantic,100,SA,10,two-sided Student t; n=1 uses zero-width descriptive interval,10,44.2,10.643725329455327,7.613533434614968,36.58646656538504,51.81353343461497,10,23592.47924101417,3995.2786819639223,2857.851634103878,20734.627606910293,26450.33087511805,10,18.936292400026137,3.474128017977052,2.4850688083619,16.451223591664238,21.421361208388035,10,102.9860648280674,17.40369859360857,12.448991027766498,90.5370738003009,115.4350558558339,10,86.0529889396219,4.608365049181142,3.2963967309223245,82.75659220869957,89.34938567054422,10,28.5,9.276613366717164,6.635628395261446,21.864371604738555,35.13562839526145,10,14.3,6.412661087428699,4.587022690155347,9.712977309844653,18.887022690155348,10,0.557518846560308,0.037719900509847214,0.02698131667183561,0.5305375298884725,0.5845001632321436,10,0.42931437325056293,0.04864886311213812,0.0347988823833379,0.39451549086722504,0.4641132556339008,10,-21.744727134090706,1.364300481930133,0.9758939668699556,-22.72062110096066,-20.768833167220752,10,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,10,28.5,9.276613366717164,6.635628395261446,21.864371604738555,35.13562839526145,10,15.7,2.5841396591085743,1.8484537213573946,13.851546278642605,17.548453721357394
semantic,100,Stochastic,10,two-sided Student t; n=1 uses zero-width descriptive interval,10,31.5,6.75359986311827,4.83089865345983,26.66910134654017,36.330898653459826,10,32260.884257145975,6911.652542713736,4943.954874217468,27316.92938292851,37204.83913136344,10,26.337115298404882,6.0011867880087255,4.292692158396027,22.044423140008856,30.629807456800908,10,140.7065876122632,30.08279640268115,21.518441065431773,119.18814654683143,162.22502867769498,10,87.63415387430749,9.998237476325821,7.151811321414701,80.48234255289279,94.78596519572218,10,8.7,3.6224607965059086,2.591172313837889,6.10882768616211,11.291172313837889,10,4.7,2.263232692902394,1.618906655740225,3.0810933442597754,6.318906655740225,10,0.8123254062274098,0.06169794034067112,0.04413298136608503,0.7681924248613248,0.8564583875934948,10,0.7579485762512722,0.07957429933174373,0.05692006978249347,0.7010285064687788,0.8148686460337656,10,-19.606635771851902,1.4982081201335977,1.071679065513099,-20.678314837365,-18.534956706338804,10,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,10,8.7,3.6224607965059086,2.591172313837889,6.10882768616211,11.291172313837889,10,22.8,4.9396356140913875,3.5333569533801703,19.26664304661983,26.33335695338017
semantic,200,Greedy,10,two-sided Student t; n=1 uses zero-width descriptive interval,10,174.0,16.519348924485158,11.81640933617315,162.18359066382686,185.81640933617314,10,2817.502699844089,580.1480099220163,414.9840524673365,2402.5186473767526,3232.4867523114253,10,1.718928478173663,0.4913818603974599,0.3514889859987408,1.3674394921749222,2.0704174641724036,10,12.771265884386294,2.5141528361668746,1.7983916425310542,10.972874241855239,14.569657526917348,10,23.441322868698116,2.764911312147858,1.9777609875489048,21.46356188114921,25.41908385624702,10,170.9,16.542537760439163,11.832996477646734,159.06700352235328,182.73299647764674,10,0.0,0.0,0.0,0.0,0.0,10,0.31782512529298945,0.007830684314540409,0.0056013449238190086,0.3122237803691704,0.3234264702168085,10,0.12017180189811072,0.010099546503124876,0.007224278398390877,0.11294752349971984,0.1273960802965016,10,-9.513435654421908,1.5178412374622272,1.085722775828845,-10.599158430250753,-8.427712878593063,10,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,10,170.9,16.542537760439163,11.832996477646734,159.06700352235328,182.73299647764674,10,3.1,1.9692073983655907,1.408588243597113,1.691411756402887,4.508588243597114
semantic,200,LinUCB,10,two-sided Student t; n=1 uses zero-width descriptive interval,10,119.5,15.841226102939268,11.331343194873234,108.16865680512677,130.83134319487323,10,7025.685064854617,1750.590613479331,1252.2100818558104,5773.474982998807,8277.895146710427,10,4.0660452435792624,1.5054353878241367,1.0768487821771089,2.9891964614021536,5.142894025756371,10,31.41916673375921,7.7072524803830085,5.513053243306308,25.906113490452903,36.932219977065515,10,141.60519685674882,9.898204914286131,7.080257308880036,134.52493954786877,148.68545416562887,10,92.5,11.32597800535467,8.101553690496656,84.39844630950334,100.60155369049666,10,32.7,5.774464862170731,4.1305163309203845,28.569483669079617,36.83051633092039,10,0.46134524827503026,0.017489913978428435,0.012510661513859154,0.4488345867611711,0.4738559097888894,10,0.30527544009481766,0.02255744101863407,0.016135500126017832,0.28913993996879983,0.3214109402208355,10,-15.19897481900353,1.8061464902599824,1.291949600893219,-16.49092441989675,-13.907025218110311,10,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,10,92.5,11.32597800535467,8.101553690496656,84.39844630950334,100.60155369049666,10,27.0,5.617433182117573,4.018190438493427,22.981809561506573,31.018190438493427
semantic,200,MCTS,10,two-sided Student t; n=1 uses zero-width descriptive interval,10,154.4,16.37884814834873,11.715908118451594,142.6840918815484,166.1159081184516,10,4739.613602631386,999.4488299803543,714.9129508429012,4024.7006517884847,5454.5265534742875,10,2.7798742076846787,0.8846839525075175,0.6328208069070856,2.147053400777593,3.4126950145917645,10,21.29103325564435,4.318521392707539,3.0890694746217564,18.201963781022595,24.380102730266106,10,73.13384548038653,6.854704293359639,4.9032193810438205,68.2306260993427,78.03706486143035,10,138.3,13.752171545694964,9.837027414824052,128.46297258517595,148.13702741482408,10,50.7,7.930952023559341,5.6730671386825655,45.026932861317434,56.37306713868257,10,0.37701194731349635,0.023588844695775362,0.016873270609324913,0.36013867670417143,0.3938852179228213,10,0.19650741157890583,0.030423475700278143,0.021762131422186644,0.1747452801567192,0.21826954300109247,10,-12.778650238191243,1.381184269653942,0.987971061905697,-13.76662130009694,-11.790679176285547,10,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,10,138.3,13.752171545694964,9.837027414824052,128.46297258517595,148.13702741482408,10,16.1,6.279596590015424,4.491840696195714,11.608159303804287,20.591840696195717
semantic,200,SA,10,two-sided Student t; n=1 uses zero-width descriptive interval,10,81.0,12.256517540566824,8.767175326181174,72.23282467381883,89.76717532618117,10,12671.481001956246,2062.4718879906454,1475.3010051579183,11196.179996798328,14146.782007114165,10,8.693726657912787,1.698479055868985,1.2149343091431997,7.478792348769588,9.908660967055987,10,55.745047968785094,8.979652089359483,6.423209853447725,49.32183811533737,62.16825782223282,10,167.68890456993284,17.68414011321362,12.649592867806325,155.03931170212653,180.33849743773916,10,46.6,8.181279443542637,5.852128146238768,40.74787185376123,52.45212814623877,10,21.8,6.356099432828281,4.54656373099509,17.25343626900491,26.34656373099509,10,0.6005612666412518,0.04145877211115458,0.02965575847328923,0.5709055081679625,0.630217025114541,10,0.4848279025608083,0.053471035235269096,0.03824821685510642,0.4465796857057019,0.5230761194159147,10,-16.057985251773225,1.1718150914342185,0.8382077798579727,-16.8961930316312,-15.219777471915252,10,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,10,46.6,8.181279443542637,5.852128146238768,40.74787185376123,52.45212814623877,10,34.4,7.214183560490019,5.160357491492231,29.239642508507767,39.560357491492226
semantic,200,Stochastic,10,two-sided Student t; n=1 uses zero-width descriptive interval,10,55.3,14.63671183474394,10.4697454582239,44.8302545417761,65.7697454582239,10,22432.615053311572,6907.887268486851,4941.261546427662,17491.353506883912,27373.876599739233,10,16.978512107391857,5.984781211998845,4.280957131645601,12.697554975746257,21.259469239037458,10,98.26046582390018,30.144108345914557,21.562297940285255,76.69816788361493,119.82276376418542,10,183.0130122233963,9.789402585291937,7.002430218841471,176.0105820045548,190.01544244223777,10,15.5,5.54276304943863,3.964778354460688,11.535221645539313,19.464778354460687,10,7.7,4.295992965026311,3.072954727945077,4.627045272054923,10.772954727945077,10,0.8089047067795946,0.019761945443584294,0.014135861994802658,0.7947688447847919,0.8230405687743972,10,0.7535367634698178,0.025487770797897574,0.018231586135220804,0.735305177334597,0.7717683496050386,10,-16.29355926700729,1.2946389379561338,0.926064562433409,-17.2196238294407,-15.36749470457388,10,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,10,15.5,5.54276304943863,3.964778354460688,11.535221645539313,19.464778354460687,10,39.8,9.259229629582222,6.62319368280892,33.17680631719108,46.423193682808915
