check,mode,area,policy,metric,paper_visual_estimate,reproduction,absolute_error,relative_error,verdict
Figure 3 finished,semantic,100,Stochastic,finished,10.000,31.500,21.500,2.150,mismatch
Figure 3 finished,semantic,100,LinUCB,finished,25.000,65.300,40.300,1.612,mismatch
Figure 3 finished,semantic,100,SA,finished,31.000,44.200,13.200,0.426,partial
Figure 3 finished,semantic,100,Greedy,finished,45.000,122.400,77.400,1.720,mismatch
Figure 3 finished,semantic,100,MCTS,finished,47.000,123.900,76.900,1.636,mismatch
Figure 3 finished,semantic,200,Stochastic,finished,20.000,55.300,35.300,1.765,mismatch
Figure 3 finished,semantic,200,LinUCB,finished,65.000,119.500,54.500,0.838,mismatch
Figure 3 finished,semantic,200,SA,finished,65.000,81.000,16.000,0.246,match
Figure 3 finished,semantic,200,Greedy,finished,145.000,174.000,29.000,0.200,match
Figure 3 finished,semantic,200,MCTS,finished,135.000,154.400,19.400,0.144,match
Figure 3 finished,semantic,300,Stochastic,finished,15.000,72.200,57.200,3.813,mismatch
Figure 3 finished,semantic,300,LinUCB,finished,65.000,138.300,73.300,1.128,mismatch
Figure 3 finished,semantic,300,SA,finished,50.000,100.300,50.300,1.006,mismatch
Figure 3 finished,semantic,300,Greedy,finished,205.000,190.700,-14.300,0.070,match
Figure 3 finished,semantic,300,MCTS,finished,195.000,164.400,-30.600,0.157,match
Figure 3 finished,semantic,400,Stochastic,finished,18.000,87.100,69.100,3.839,mismatch
Figure 3 finished,semantic,400,LinUCB,finished,100.000,126.200,26.200,0.262,partial
Figure 3 finished,semantic,400,SA,finished,85.000,107.100,22.100,0.260,partial
Figure 3 finished,semantic,400,Greedy,finished,200.000,185.200,-14.800,0.074,match
Figure 3 finished,semantic,400,MCTS,finished,225.000,163.500,-61.500,0.273,partial
Figure 3 finished,semantic,500,Stochastic,finished,18.000,88.100,70.100,3.894,mismatch
Figure 3 finished,semantic,500,LinUCB,finished,95.000,130.300,35.300,0.372,partial
Figure 3 finished,semantic,500,SA,finished,35.000,107.300,72.300,2.066,mismatch
Figure 3 finished,semantic,500,Greedy,finished,250.000,194.600,-55.400,0.222,match
Figure 3 finished,semantic,500,MCTS,finished,210.000,158.500,-51.500,0.245,match
Figure 4 avg_time,semantic,100,LinUCB,avg_time,32.000,46.880,14.880,0.465,partial
Figure 4 avg_time,semantic,100,SA,avg_time,30.000,102.986,72.986,2.433,mismatch
Figure 4 avg_time,semantic,100,Greedy,avg_time,27.000,34.351,7.351,0.272,partial
Figure 4 avg_time,semantic,100,MCTS,avg_time,22.000,31.930,9.930,0.451,partial
Figure 4 avg_time,semantic,200,LinUCB,avg_time,9.000,31.419,22.419,2.491,mismatch
Figure 4 avg_time,semantic,200,SA,avg_time,12.000,55.745,43.745,3.645,mismatch
Figure 4 avg_time,semantic,200,Greedy,avg_time,7.000,12.771,5.771,0.824,mismatch
Figure 4 avg_time,semantic,200,MCTS,avg_time,7.000,21.291,14.291,2.042,mismatch
Figure 4 avg_time,semantic,300,LinUCB,avg_time,10.000,25.813,15.813,1.581,mismatch
Figure 4 avg_time,semantic,300,SA,avg_time,12.000,46.413,34.413,2.868,mismatch
Figure 4 avg_time,semantic,300,Greedy,avg_time,5.000,10.517,5.517,1.103,mismatch
Figure 4 avg_time,semantic,300,MCTS,avg_time,5.000,19.042,14.042,2.808,mismatch
Figure 4 avg_time,semantic,400,LinUCB,avg_time,8.000,32.189,24.189,3.024,mismatch
Figure 4 avg_time,semantic,400,SA,avg_time,7.000,42.849,35.849,5.121,mismatch
Figure 4 avg_time,semantic,400,Greedy,avg_time,4.000,9.736,5.736,1.434,mismatch
Figure 4 avg_time,semantic,400,MCTS,avg_time,5.000,16.751,11.751,2.350,mismatch
Figure 4 avg_time,semantic,500,LinUCB,avg_time,10.000,30.621,20.621,2.062,mismatch
Figure 4 avg_time,semantic,500,SA,avg_time,15.000,40.067,25.067,1.671,mismatch
Figure 4 avg_time,semantic,500,Greedy,avg_time,4.000,8.937,4.937,1.234,mismatch
Figure 4 avg_time,semantic,500,MCTS,avg_time,5.000,18.521,13.521,2.704,mismatch
Figure 3 flight_energy,semantic,100,LinUCB,flight_energy_per_req,36000.000,10655.323,-25344.677,0.704,mismatch
Figure 3 flight_energy,semantic,100,SA,flight_energy_per_req,32000.000,23592.479,-8407.521,0.263,partial
Figure 3 flight_energy,semantic,100,Greedy,flight_energy_per_req,30000.000,7839.958,-22160.042,0.739,mismatch
Figure 3 flight_energy,semantic,100,MCTS,flight_energy_per_req,24000.000,7255.818,-16744.182,0.698,mismatch
Figure 3 flight_energy,semantic,200,LinUCB,flight_energy_per_req,10000.000,7025.685,-2974.315,0.297,partial
Figure 3 flight_energy,semantic,200,SA,flight_energy_per_req,14000.000,12671.481,-1328.519,0.095,match
Figure 3 flight_energy,semantic,200,Greedy,flight_energy_per_req,8000.000,2817.503,-5182.497,0.648,mismatch
Figure 3 flight_energy,semantic,200,MCTS,flight_energy_per_req,8500.000,4739.614,-3760.386,0.442,partial
Figure 3 flight_energy,semantic,300,LinUCB,flight_energy_per_req,10000.000,5645.676,-4354.324,0.435,partial
Figure 3 flight_energy,semantic,300,SA,flight_energy_per_req,13000.000,10467.071,-2532.929,0.195,match
Figure 3 flight_energy,semantic,300,Greedy,flight_energy_per_req,5500.000,2234.646,-3265.354,0.594,mismatch
Figure 3 flight_energy,semantic,300,MCTS,flight_energy_per_req,6000.000,4153.957,-1846.043,0.308,partial
Figure 3 flight_energy,semantic,400,LinUCB,flight_energy_per_req,8000.000,7008.748,-991.252,0.124,match
Figure 3 flight_energy,semantic,400,SA,flight_energy_per_req,10000.000,9613.022,-386.978,0.039,match
Figure 3 flight_energy,semantic,400,Greedy,flight_energy_per_req,5000.000,2028.804,-2971.196,0.594,mismatch
Figure 3 flight_energy,semantic,400,MCTS,flight_energy_per_req,5500.000,3602.444,-1897.556,0.345,partial
Figure 3 flight_energy,semantic,500,LinUCB,flight_energy_per_req,10000.000,6565.732,-3434.268,0.343,partial
Figure 3 flight_energy,semantic,500,SA,flight_energy_per_req,16000.000,8890.201,-7109.799,0.444,partial
Figure 3 flight_energy,semantic,500,Greedy,flight_energy_per_req,4500.000,1826.838,-2673.162,0.594,mismatch
Figure 3 flight_energy,semantic,500,MCTS,flight_energy_per_req,5500.000,3948.066,-1551.934,0.282,partial
Figure 6 finished,semantic,300,LinUCB,finished,65.000,138.300,73.300,1.128,mismatch
Figure 6 finished,semantic,300,SA,finished,50.000,100.300,50.300,1.006,mismatch
Figure 6 finished,semantic,300,Greedy,finished,205.000,190.700,-14.300,0.070,match
Figure 6 finished,semantic,300,MCTS,finished,180.000,164.400,-15.600,0.087,match
Figure 6 finished,nonsemantic,300,LinUCB,finished,60.000,66.500,6.500,0.108,match
Figure 6 finished,nonsemantic,300,SA,finished,45.000,68.300,23.300,0.518,mismatch
Figure 6 finished,nonsemantic,300,Greedy,finished,100.000,75.900,-24.100,0.241,match
Figure 6 finished,nonsemantic,300,MCTS,finished,65.000,77.000,12.000,0.185,match
